t,x,y,z,fx,fy,fz
170.000000,1.941176,0.200000,1.600000,0.000000,0.000000,0.000000
170.010000,1.939235,0.199800,1.600000,0.000000,0.000000,0.000000
170.020000,1.937294,0.199600,1.600000,0.000000,0.000000,0.000000
170.030000,1.935353,0.199400,1.600000,0.000000,0.000000,0.000000
170.040000,1.933412,0.199200,1.600000,0.000000,0.000000,0.000000
170.050000,1.931471,0.199000,1.600000,0.000000,0.000000,0.000000
170.060000,1.929529,0.198800,1.600000,0.000000,0.000000,0.000000
170.070000,1.927588,0.198600,1.600000,0.000000,0.000000,0.000000
170.080000,1.925647,0.198400,1.600000,0.000000,0.000000,0.000000
170.090000,1.923706,0.198200,1.600000,0.000000,0.000000,0.000000
170.100000,1.921765,0.198000,1.600000,0.000000,0.000000,0.000000
170.110000,1.919824,0.197800,1.600000,0.000000,0.000000,0.000000
170.120000,1.917882,0.197600,1.600000,0.000000,0.000000,0.000000
170.130000,1.915941,0.197400,1.600000,0.000000,0.000000,0.000000
170.140000,1.914000,0.197200,1.600000,0.000000,0.000000,0.000000
170.150000,1.912059,0.197000,1.600000,0.000000,0.000000,0.000000
170.160000,1.910118,0.196800,1.600000,0.000000,0.000000,0.000000
170.170000,1.908176,0.196600,1.600000,0.000000,0.000000,0.000000
170.180000,1.906235,0.196400,1.600000,0.000000,0.000000,0.000000
170.190000,1.904294,0.196200,1.600000,0.000000,0.000000,0.000000
170.200000,1.902353,0.196000,1.600000,0.000000,0.000000,0.000000
170.210000,1.900412,0.195800,1.600000,0.000000,0.000000,0.000000
170.220000,1.898471,0.195600,1.600000,0.000000,0.000000,0.000000
170.230000,1.896529,0.195400,1.600000,0.000000,0.000000,0.000000
170.240000,1.894588,0.195200,1.600000,0.000000,0.000000,0.000000
170.250000,1.892647,0.195000,1.600000,0.000000,0.000000,0.000000
170.260000,1.890706,0.194800,1.600000,0.000000,0.000000,0.000000
170.270000,1.888765,0.194600,1.600000,0.000000,0.000000,0.000000
170.280000,1.886824,0.194400,1.600000,0.000000,0.000000,0.000000
170.290000,1.884882,0.194200,1.600000,0.000000,0.000000,0.000000
170.300000,1.882941,0.194000,1.600000,0.000000,0.000000,0.000000
170.310000,1.881000,0.193800,1.600000,0.000000,0.000000,0.000000
170.320000,1.879059,0.193600,1.600000,0.000000,0.000000,0.000000
170.330000,1.877118,0.193400,1.600000,0.000000,0.000000,0.000000
170.340000,1.875176,0.193200,1.600000,0.000000,0.000000,0.000000
170.350000,1.873235,0.193000,1.600000,0.000000,0.000000,0.000000
170.360000,1.871294,0.192800,1.600000,0.000000,0.000000,0.000000
170.370000,1.869353,0.192600,1.600000,0.000000,0.000000,0.000000
170.380000,1.867412,0.192400,1.600000,0.000000,0.000000,0.000000
170.390000,1.865471,0.192200,1.600000,0.000000,0.000000,0.000000
170.400000,1.863529,0.192000,1.600000,0.000000,0.000000,0.000000
170.410000,1.861588,0.191800,1.600000,0.000000,0.000000,0.000000
170.420000,1.859647,0.191600,1.600000,0.000000,0.000000,0.000000
170.430000,1.857706,0.191400,1.600000,0.000000,0.000000,0.000000
170.440000,1.855765,0.191200,1.600000,0.000000,0.000000,0.000000
170.450000,1.853824,0.191000,1.600000,0.000000,0.000000,0.000000
170.460000,1.851882,0.190800,1.600000,0.000000,0.000000,0.000000
170.470000,1.849941,0.190600,1.600000,0.000000,0.000000,0.000000
170.480000,1.848000,0.190400,1.600000,0.000000,0.000000,0.000000
170.490000,1.846059,0.190200,1.600000,0.000000,0.000000,0.000000
170.500000,1.844118,0.190000,1.600000,0.000000,0.000000,0.000000
170.510000,1.842176,0.189800,1.600000,0.000000,0.000000,0.000000
170.520000,1.840235,0.189600,1.600000,0.000000,0.000000,0.000000
170.530000,1.838294,0.189400,1.600000,0.000000,0.000000,0.000000
170.540000,1.836353,0.189200,1.600000,0.000000,0.000000,0.000000
170.550000,1.834412,0.189000,1.600000,0.000000,0.000000,0.000000
170.560000,1.832471,0.188800,1.600000,0.000000,0.000000,0.000000
170.570000,1.830529,0.188600,1.600000,0.000000,0.000000,0.000000
170.580000,1.828588,0.188400,1.600000,0.000000,0.000000,0.000000
170.590000,1.826647,0.188200,1.600000,0.000000,0.000000,0.000000
170.600000,1.824706,0.188000,1.600000,0.000000,0.000000,0.000000
170.610000,1.822765,0.187800,1.600000,0.000000,0.000000,0.000000
170.620000,1.820824,0.187600,1.600000,0.000000,0.000000,0.000000
170.630000,1.818882,0.187400,1.600000,0.000000,0.000000,0.000000
170.640000,1.816941,0.187200,1.600000,0.000000,0.000000,0.000000
170.650000,1.815000,0.187000,1.600000,0.000000,0.000000,0.000000
170.660000,1.813059,0.186800,1.600000,0.000000,0.000000,0.000000
170.670000,1.811118,0.186600,1.600000,0.000000,0.000000,0.000000
170.680000,1.809176,0.186400,1.600000,0.000000,0.000000,0.000000
170.690000,1.807235,0.186200,1.600000,0.000000,0.000000,0.000000
170.700000,1.805294,0.186000,1.600000,0.000000,0.000000,0.000000
170.710000,1.803353,0.185800,1.600000,0.000000,0.000000,0.000000
