t,x,y,z,fx,fy,fz
15.790000,0.997167,0.080417,1.600000,0.000000,0.000000,0.000000
15.800000,0.998889,0.080556,1.600000,0.000000,0.000000,0.000000
15.810000,1.000611,0.080694,1.600000,0.000000,0.000000,0.000000
15.820000,1.002333,0.080833,1.600000,0.000000,0.000000,0.000000
15.830000,1.004056,0.080972,1.600000,0.000000,0.000000,0.000000
15.840000,1.005778,0.081111,1.600000,0.000000,0.000000,0.000000
15.850000,1.007500,0.081250,1.600000,0.000000,0.000000,0.000000
15.860000,1.009222,0.081389,1.600000,0.000000,0.000000,0.000000
15.870000,1.010944,0.081528,1.600000,0.000000,0.000000,0.000000
15.880000,1.012667,0.081667,1.600000,0.000000,0.000000,0.000000
15.890000,1.014389,0.081806,1.600000,0.000000,0.000000,0.000000
15.900000,1.016111,0.081944,1.600000,0.000000,0.000000,0.000000
15.910000,1.017833,0.082083,1.600000,0.000000,0.000000,0.000000
15.920000,1.019556,0.082222,1.600000,0.000000,0.000000,0.000000
15.930000,1.021278,0.082361,1.600000,0.000000,0.000000,0.000000
15.940000,1.023000,0.082500,1.600000,0.000000,0.000000,0.000000
15.950000,1.024722,0.082639,1.600000,0.000000,0.000000,0.000000
15.960000,1.026444,0.082778,1.600000,0.000000,0.000000,0.000000
15.970000,1.028167,0.082917,1.600000,0.000000,0.000000,0.000000
15.980000,1.029889,0.083056,1.600000,0.000000,0.000000,0.000000
15.990000,1.031611,0.083194,1.600000,0.000000,0.000000,0.000000
16.000000,1.033333,0.083333,1.600000,0.000000,0.000000,0.000000
16.010000,1.035056,0.083472,1.600000,0.000000,0.000000,0.000000
16.020000,1.036778,0.083611,1.600000,0.000000,0.000000,0.000000
16.030000,1.038500,0.083750,1.600000,0.000000,0.000000,0.000000
16.040000,1.040222,0.083889,1.600000,0.000000,0.000000,0.000000
16.050000,1.041944,0.084028,1.600000,0.000000,0.000000,0.000000
16.060000,1.043667,0.084167,1.600000,0.000000,0.000000,0.000000
16.070000,1.045389,0.084306,1.600000,0.000000,0.000000,0.000000
16.080000,1.047111,0.084444,1.600000,0.000000,0.000000,0.000000
16.090000,1.048833,0.084583,1.600000,0.000000,0.000000,0.000000
16.100000,1.050556,0.084722,1.600000,0.000000,0.000000,0.000000
16.110000,1.052278,0.084861,1.600000,0.000000,0.000000,0.000000
16.120000,1.054000,0.085000,1.600000,0.000000,0.000000,0.000000
16.130000,1.055722,0.085139,1.600000,0.000000,0.000000,0.000000
16.140000,1.057444,0.085278,1.600000,0.000000,0.000000,0.000000
16.150000,1.059167,0.085417,1.600000,0.000000,0.000000,0.000000
16.160000,1.060889,0.085556,1.600000,0.000000,0.000000,0.000000
16.170000,1.062611,0.085694,1.600000,0.000000,0.000000,0.000000
16.180000,1.064333,0.085833,1.600000,0.000000,0.000000,0.000000
16.190000,1.066056,0.085972,1.600000,0.000000,0.000000,0.000000
16.200000,1.067778,0.086111,1.600000,0.000000,0.000000,0.000000
16.210000,1.069500,0.086250,1.600000,0.000000,0.000000,0.000000
16.220000,1.071222,0.086389,1.600000,0.000000,0.000000,0.000000
16.230000,1.072944,0.086528,1.600000,0.000000,0.000000,0.000000
16.240000,1.074667,0.086667,1.600000,0.000000,0.000000,0.000000
16.250000,1.076389,0.086806,1.600000,0.000000,0.000000,0.000000
16.260000,1.078111,0.086944,1.600000,0.000000,0.000000,0.000000
16.270000,1.079833,0.087083,1.600000,0.000000,0.000000,0.000000
16.280000,1.081556,0.087222,1.600000,0.000000,0.000000,0.000000
16.290000,1.083278,0.087361,1.600000,0.000000,0.000000,0.000000
16.300000,1.085000,0.087500,1.600000,0.000000,0.000000,0.000000
16.310000,1.086722,0.087639,1.600000,0.000000,0.000000,0.000000
16.320000,1.088444,0.087778,1.600000,0.000000,0.000000,0.000000
16.330000,1.090167,0.087917,1.600000,0.000000,0.000000,0.000000
16.340000,1.091889,0.088056,1.600000,0.000000,0.000000,0.000000
16.350000,1.093611,0.088194,1.600000,0.000000,0.000000,0.000000
16.360000,1.095333,0.088333,1.600000,0.000000,0.000000,0.000000
16.370000,1.097056,0.088472,1.600000,0.000000,0.000000,0.000000
16.380000,1.098778,0.088611,1.600000,0.000000,0.000000,0.000000
16.390000,1.100500,0.088750,1.600000,0.000000,0.000000,0.000000
16.400000,1.102222,0.088889,1.600000,0.000000,0.000000,0.000000
16.410000,1.103944,0.089028,1.600000,0.000000,0.000000,0.000000
16.420000,1.105667,0.089167,1.600000,0.000000,0.000000,0.000000
16.430000,1.107389,0.089306,1.600000,0.000000,0.000000,0.000000
16.440000,1.109111,0.089444,1.600000,0.000000,0.000000,0.000000
16.450000,1.110833,0.089583,1.600000,0.000000,0.000000,0.000000
16.460000,1.112556,0.089722,1.600000,0.000000,0.000000,0.000000
16.470000,1.114278,0.089861,1.600000,0.000000,0.000000,0.000000
16.480000,1.116000,0.090000,1.600000,0.000000,0.000000,0.000000
16.490000,1.117722,0.090139,1.600000,0.000000,0.000000,0.000000
16.500000,1.119444,0.090278,1.600000,0.000000,0.000000,0.000000
16.510000,1.121167,0.090417,1.600000,0.000000,0.000000,0.000000
16.520000,1.122889,0.090556,1.600000,0.000000,0.000000,0.000000
16.530000,1.124611,0.090694,1.600000,0.000000,0.000000,0.000000
16.540000,1.126333,0.090833,1.600000,0.000000,0.000000,0.000000
16.550000,1.128056,0.090972,1.600000,0.000000,0.000000,0.000000
16.560000,1.129778,0.091111,1.600000,0.000000,0.000000,0.000000
16.570000,1.131500,0.091250,1.600000,0.000000,0.000000,0.000000
16.580000,1.133222,0.091389,1.600000,0.000000,0.000000,0.000000
16.590000,1.134944,0.091528,1.600000,0.000000,0.000000,0.000000
16.600000,1.136667,0.091667,1.600000,0.000000,0.000000,0.000000
16.610000,1.138389,0.091806,1.600000,0.000000,0.000000,0.000000
16.620000,1.140111,0.091944,1.600000,0.000000,0.000000,0.000000
16.630000,1.141833,0.092083,1.600000,0.000000,0.000000,0.000000
16.640000,1.143556,0.092222,1.600000,0.000000,0.000000,0.000000
16.650000,1.145278,0.092361,1.600000,0.000000,0.000000,0.000000
16.660000,1.147000,0.092500,1.600000,0.000000,0.000000,0.000000
16.670000,1.148722,0.092639,1.600000,0.000000,0.000000,0.000000
16.680000,1.150444,0.092778,1.600000,0.000000,0.000000,0.000000
16.690000,1.152167,0.092917,1.600000,0.000000,0.000000,0.000000
16.700000,1.153889,0.093056,1.600000,0.000000,0.000000,0.000000
16.710000,1.155611,0.093194,1.600000,0.000000,0.000000,0.000000
16.720000,1.157333,0.093333,1.600000,0.000000,0.000000,0.000000
16.730000,1.159056,0.093472,1.600000,0.000000,0.000000,0.000000
16.740000,1.160778,0.093611,1.600000,0.000000,0.000000,0.000000
16.750000,1.162500,0.093750,1.600000,0.000000,0.000000,0.000000
16.760000,1.164222,0.093889,1.600000,0.000000,0.000000,0.000000
16.770000,1.165944,0.094028,1.600000,0.000000,0.000000,0.000000
16.780000,1.167667,0.094167,1.600000,0.000000,0.000000,0.000000
16.790000,1.169389,0.094306,1.600000,0.000000,0.000000,0.000000
16.800000,1.171111,0.094444,1.600000,0.000000,0.000000,0.000000
16.810000,1.172833,0.094583,1.600000,0.000000,0.000000,0.000000
16.820000,1.174556,0.094722,1.600000,0.000000,0.000000,0.000000
16.830000,1.176278,0.094861,1.600000,0.000000,0.000000,0.000000
16.840000,1.178000,0.095000,1.600000,0.000000,0.000000,0.000000
16.850000,1.179722,0.095139,1.600000,0.000000,0.000000,0.000000
16.860000,1.181444,0.095278,1.600000,0.000000,0.000000,0.000000
16.870000,1.183167,0.095417,1.600000,0.000000,0.000000,0.000000
16.880000,1.184889,0.095556,1.600000,0.000000,0.000000,0.000000
16.890000,1.186611,0.095694,1.600000,0.000000,0.000000,0.000000
16.900000,1.188333,0.095833,1.600000,0.000000,0.000000,0.000000
16.910000,1.190056,0.095972,1.600000,0.000000,0.000000,0.000000
16.920000,1.191778,0.096111,1.600000,0.000000,0.000000,0.000000
16.930000,1.193500,0.096250,1.600000,0.000000,0.000000,0.000000
16.940000,1.195222,0.096389,1.600000,0.000000,0.000000,0.000000
16.950000,1.196944,0.096528,1.600000,0.000000,0.000000,0.000000
16.960000,1.198667,0.096667,1.600000,0.000000,0.000000,0.000000
16.970000,1.200389,0.096806,1.600000,0.000000,0.000000,0.000000
16.980000,1.202111,0.096944,1.600000,0.000000,0.000000,0.000000
16.990000,1.203833,0.097083,1.600000,0.000000,0.000000,0.000000
17.000000,1.205556,0.097222,1.600000,0.000000,0.000000,0.000000
17.010000,1.207278,0.097361,1.600000,0.000000,0.000000,0.000000
17.020000,1.209000,0.097500,1.600000,0.000000,0.000000,0.000000
17.030000,1.210722,0.097639,1.600000,0.000000,0.000000,0.000000
17.040000,1.212444,0.097778,1.600000,0.000000,0.000000,0.000000
17.050000,1.214167,0.097917,1.600000,0.000000,0.000000,0.000000
17.060000,1.215889,0.098056,1.600000,0.000000,0.000000,0.000000
17.070000,1.217611,0.098194,1.600000,0.000000,0.000000,0.000000
17.080000,1.219333,0.098333,1.600000,0.000000,0.000000,0.000000
17.090000,1.221056,0.098472,1.600000,0.000000,0.000000,0.000000
17.100000,1.222778,0.098611,1.600000,0.000000,0.000000,0.000000
17.110000,1.224500,0.098750,1.600000,0.000000,0.000000,0.000000
17.120000,1.226222,0.098889,1.600000,0.000000,0.000000,0.000000
17.130000,1.227944,0.099028,1.600000,0.000000,0.000000,0.000000
