t,x,y,z,fx,fy,fz
0,0,0,1.63,0,0,0
18,3.1,0.25,1.63,0,0,0
19,3.2,0.25,1.63,0,0,0
20,3.3,0.25,1.63,0,0,0
21,3.35,0.25,1.63,0,0,0
22,3.40,0.25,1.63,0,0,0
25,3.45,0.25,1.63,0,0,0
35,3.45,0.25,1.63,0,0,0
50,1,0,1.63,0,0,0
